Model,SC_Coefficient,Observations,R2
Price_Base,-0.03448798316381739,41090,0.7393024243205478
Price_Controls,-0.01972123524917345,41083,0.7962361567682591
Price_District,-0.02189569609642176,41083,0.795569465155683
Price_State,-0.014133653774573004,41083,0.9999972303661291
Price_Simple,-0.01972123524917345,41083,0.9999972153542873
Agency_Trader,-0.10053522258424566,41083,0.016159786726606562
Agency_Trader_Dist,-0.1029267914730511,41083,0.016063696851057907
Agency_Govt,0.002041187545663329,41083,0.9999921301204832
Agency_Coop,-6.291434595594532e-4,41083,0.999992128847171
Price_Base,-0.03448798316381739,41090,0.7449400298268415
Price_Controls,-0.01972123524917345,41083,0.7997157550564341
Price_District,-0.02189569609642176,41083,0.7990505213996099
Price_State,-0.014133653774573004,41083,0.9999972873448604
Price_Simple,-0.01972123524917345,41083,0.9999972721044715
Agency_Trader,-0.10053522258424566,41083,0.03312367968411367
Agency_Trader_Dist,-0.1029267914730511,41083,0.03298199898460952
Agency_Govt,0.002041187545663329,41083,0.9999922942510044
Agency_Coop,-6.291434595594532e-4,41083,0.9999922923410252
Price_Base,-0.03448798316381739,41090,0.7520846448330963
Price_Controls,-0.01972123524917345,41083,0.8045716367845516
Price_District,-0.02189569609642176,41083,0.803586749740262
Price_State,-0.014133653774573004,41083,0.9999973538178083
Price_Simple,-0.01972123524917345,41083,0.9999973307331017
Agency_Trader,-0.10053522258424566,41083,0.0327565709875447
Agency_Trader_Dist,-0.1029267914730511,41083,0.03261459377416587
Agency_Govt,0.002041187545663329,41083,0.9999922574637125
Agency_Coop,-6.291434595594532e-4,41083,0.9999922554964065
Price_Base,-0.03448798316381739,41090,0.76238835255804
Price_Controls,-0.01972123524917345,41083,0.81209774983899
Price_District,-0.02189569609642176,41083,0.81143219480874
Price_State,-0.014133653774573004,41083,0.9999974574866879
Price_Simple,-0.01972123524917345,41083,0.9999974412377439
Agency_Trader,-0.10053522258424566,41083,0.028933479429636755
Agency_Trader_Dist,-0.1029267914730511,41083,0.02879115343790739
Agency_Govt,0.002041187545663329,41083,0.999992152365764
Agency_Coop,-6.291434595594532e-4,41083,0.9999921502904495
Price_Base,-0.03448798316381739,41090,0.7449400298268415
Price_Controls,-0.01972123524917345,41083,0.7997157550564341
Price_District,-0.02189569609642176,41083,0.7990505213996099
Price_State,-0.014133653774573004,41083,0.9999972873448604
Price_Simple,-0.01972123524917345,41083,0.9999972721044715
Agency_Trader,-0.10053522258424566,41083,0.03312367968411367
Agency_Trader_Dist,-0.1029267914730511,41083,0.03298199898460952
Agency_Govt,0.002041187545663329,41083,0.9999922942510044
Agency_Coop,-6.291434595594532e-4,41083,0.9999922923410252
Price_Base,-0.03448798316381739,41090,0.03471033446313331
Price_Controls,-0.01972123524917345,41083,0.04385521603977782
Price_District,-0.02189569609642176,41083,0.040702859436494765
Price_State,-0.014133653774573004,41083,0.9999946951770602
Price_Simple,-0.01972123524917345,41083,0.9999946691170456
Agency_Trader,-0.10053522258424566,41083,0.010199387682672256
Agency_Trader_Dist,-0.1029267914730511,41083,0.010078524052575144
Agency_Govt,0.002041187545663329,41083,0.999994561794021
Agency_Coop,-6.291434595594532e-4,41083,0.9999945608045668
Price_Base,-0.03448798316381739,41090,0.04892089957881652
Price_Controls,-0.01972123524917345,41083,0.0750185414855491
Price_District,-0.02189569609642176,41083,0.07037971772168528
Price_State,-0.014133653774573004,41083,0.9999947457251103
Price_Simple,-0.01972123524917345,41083,0.9999947061524956
Agency_Trader,-0.10053522258424566,41083,0.009358794345503685
Agency_Trader_Dist,-0.1029267914730511,41083,0.009237620922104894
Agency_Govt,0.002041187545663329,41083,0.9999944771962136
Agency_Coop,-6.291434595594532e-4,41083,0.9999944761817003
Price_Base,-0.03448798316381739,41090,0.006199361539360468
Price_Controls,-0.01972123524917345,41083,0.006060325723090565
Price_District,-0.02189569609642176,41083,0.0010756733947209218
Price_State,-0.014133653774573004,41083,0.9999949808457078
Price_Simple,-0.01972123524917345,41083,0.9999949960019888
Agency_Trader,-0.10053522258424566,41083,4.6591378035765185e-4
Agency_Trader_Dist,-0.1029267914730511,41083,3.436525960461845e-4
Agency_Govt,0.002041187545663329,41083,0.9999949884837863
Agency_Coop,-6.291434595594532e-4,41083,0.9999949888528891
Price_Base,-0.03448798316381739,41090,0.04096154778951275
Price_Controls,-0.01972123524917345,41083,0.07249554120344992
Price_District,-0.02189569609642176,41083,0.0678440644792947
Price_State,-0.014133653774573004,41083,0.9999940567093356
Price_Simple,-0.01972123524917345,41083,0.9999941057307792
Agency_Trader,-0.10053522258424566,41083,1.8218458472329946e-4
Agency_Trader_Dist,-0.1029267914730511,41083,5.9888695174814544e-5
Agency_Govt,0.002041187545663329,41083,0.9999944243527185
Agency_Coop,-6.291434595594532e-4,41083,0.9999944254744026
