channel,General,OBC,SC,ST
Local Trader,76.3,75.4,80.5,83.6
APMC Mandi,6.1,6.1,3.2,4.1
Government,3.8,4.7,3.8,1.5
Cooperative,2.5,2.7,1.6,2.2
FPO,0.2,0,0,0
Formal (all),18.3,18.9,13.4,10.8
